iter	Passed	Remaining
0	59	59186
1	59	29737
2	59	19903
3	60	14984
4	60	12032
5	60	10063
6	61	8665
7	61	7615
8	61	6792
9	61	6135
10	62	5597
11	62	5148
12	62	4767
13	63	4444
14	63	4160
15	63	3913
16	63	3694
17	64	3499
18	64	3325
19	64	3169
20	64	3028
21	65	2899
22	65	2781
23	65	2673
24	66	2574
25	66	2482
26	66	2403
27	66	2324
28	67	2249
29	67	2182
30	67	2120
31	68	2060
32	68	2002
33	68	1950
34	68	1900
35	69	1852
36	69	1807
37	69	1764
38	69	1723
39	70	1685
40	70	1647
41	70	1613
42	70	1579
43	71	1547
44	71	1516
45	71	1487
46	71	1459
47	72	1434
48	72	1408
49	72	1383
50	73	1359
51	73	1335
52	73	1313
53	73	1292
54	74	1271
55	74	1251
56	74	1232
57	74	1214
58	74	1195
59	75	1178
60	75	1162
61	75	1146
62	75	1130
63	76	1115
64	76	1100
65	76	1085
66	76	1071
67	77	1055
68	77	1042
69	77	1029
70	77	1016
71	77	1004
72	78	992
73	78	980
74	78	968
75	78	957
76	79	947
77	79	936
78	79	926
79	79	916
80	79	906
81	80	897
82	80	888
83	80	879
84	80	869
85	80	860
86	81	850
87	81	842
88	81	835
89	81	827
90	82	820
91	82	813
92	82	805
93	82	799
94	83	792
95	83	785
96	83	778
97	83	771
98	84	765
99	84	758
100	84	752
101	84	745
102	84	739
103	85	733
104	85	728
105	85	722
106	85	717
107	86	711
108	86	706
109	86	700
110	86	695
111	87	690
112	87	685
113	87	680
114	87	675
115	88	670
116	88	665
117	88	661
118	88	655
119	88	651
120	89	647
121	89	642
122	89	637
123	89	632
124	89	628
125	90	624
126	90	620
127	90	615
128	90	612
129	90	608
130	91	604
131	91	600
132	91	597
133	91	593
134	92	590
135	92	587
136	92	583
137	92	579
138	93	576
139	93	572
140	93	569
141	93	566
142	93	563
143	94	559
144	94	557
145	94	553
146	94	551
147	95	548
148	95	545
149	95	541
150	95	539
151	96	536
152	96	533
153	96	530
154	96	528
155	97	525
156	97	522
157	97	520
158	97	518
159	98	515
160	98	513
161	98	510
162	98	507
163	99	505
164	99	502
165	99	500
166	99	498
167	100	496
168	100	493
169	100	491
170	100	489
171	101	487
172	101	485
173	101	482
174	101	480
175	102	478
176	102	476
177	102	474
178	102	471
179	103	469
180	103	467
181	103	464
182	103	462
183	103	460
184	104	458
185	104	456
186	104	454
187	104	452
188	105	450
189	105	448
190	105	446
191	105	444
192	105	442
193	106	440
194	106	439
195	106	437
196	106	435
197	106	433
198	107	431
199	107	429
200	107	427
201	107	425
202	107	424
203	108	422
204	108	420
205	108	419
206	108	417
207	109	415
208	109	414
209	109	412
210	109	410
211	110	409
212	110	407
213	110	406
214	110	404
215	111	403
216	111	401
217	111	400
218	111	398
219	111	397
220	112	395
221	112	394
222	112	392
223	113	391
224	113	390
225	113	388
226	113	387
227	113	385
228	114	384
229	114	383
230	114	381
231	114	380
232	115	378
233	115	377
234	115	376
235	115	374
236	116	373
237	116	372
238	116	370
239	116	369
240	116	368
241	117	367
242	117	365
243	117	364
244	117	363
245	118	362
246	118	361
247	118	359
248	118	358
249	119	357
250	119	356
251	119	355
252	119	353
253	120	352
254	120	351
255	120	350
256	120	349
257	120	347
258	121	346
259	121	345
260	121	344
261	121	343
262	122	342
263	122	340
264	122	339
265	122	338
266	123	337
267	123	336
268	123	335
269	123	334
270	123	332
271	123	331
272	124	330
273	124	329
274	124	328
275	124	327
276	124	326
277	125	325
278	125	323
279	125	322
280	125	321
281	125	320
282	126	319
283	126	318
284	126	317
285	126	316
286	127	315
287	127	314
288	127	313
289	127	312
290	127	311
291	128	310
292	128	309
293	128	308
294	128	307
295	129	306
296	129	305
297	129	305
298	129	304
299	129	303
300	130	302
301	130	301
302	130	300
303	130	299
304	131	298
305	131	297
306	131	296
307	131	295
308	131	295
309	132	294
310	132	293
311	132	292
312	132	291
313	133	290
314	133	289
315	133	289
316	133	288
317	134	287
318	134	286
319	134	285
320	134	285
321	134	284
322	135	283
323	135	283
324	135	282
325	136	281
326	136	280
327	136	280
328	136	279
329	137	279
330	138	280
331	138	279
332	139	278
333	139	277
334	139	276
335	139	276
336	139	275
337	140	274
338	140	273
339	140	272
340	140	272
341	141	271
342	141	270
343	141	269
344	141	268
345	141	268
346	142	267
347	142	266
348	142	265
349	142	265
350	142	264
351	143	263
352	143	262
353	143	262
354	143	261
355	144	260
356	144	260
357	144	259
358	144	258
359	145	257
360	145	257
361	145	256
362	145	255
363	145	254
364	146	254
365	146	253
366	146	252
367	146	252
368	146	251
369	147	250
370	147	250
371	147	249
372	147	248
373	148	247
374	148	247
375	148	246
376	148	245
377	148	245
378	149	244
379	149	243
