iter	Passed	Remaining
0	57	57854
1	58	29057
2	58	19445
3	58	14637
4	59	11761
5	59	9838
6	59	8476
7	60	7442
8	60	6642
9	60	6003
10	60	5477
11	61	5041
12	61	4669
13	61	4351
14	62	4075
15	62	3833
16	62	3623
17	63	3438
18	63	3267
19	63	3113
20	63	2974
21	64	2848
22	64	2733
23	64	2627
24	64	2531
25	65	2441
26	65	2357
27	65	2280
28	65	2207
29	66	2141
30	66	2078
31	66	2018
32	66	1963
33	67	1910
34	67	1867
35	68	1822
36	68	1779
37	68	1738
38	68	1698
39	69	1659
40	69	1624
41	69	1589
42	69	1556
43	70	1526
44	70	1496
45	70	1467
46	71	1440
47	71	1415
48	71	1390
49	71	1367
50	72	1344
51	72	1321
52	72	1300
53	73	1279
54	73	1259
55	73	1240
56	73	1221
57	74	1203
58	74	1186
59	74	1168
60	74	1152
61	75	1136
62	75	1121
63	75	1106
64	75	1091
65	76	1078
66	76	1064
67	76	1051
68	76	1037
69	77	1025
70	77	1012
71	77	1000
72	77	988
73	78	977
74	78	967
75	78	957
76	78	946
77	79	936
78	79	927
79	79	918
80	80	909
81	80	900
82	80	889
83	80	882
84	81	874
85	81	865
86	81	859
87	82	851
88	82	844
89	83	844
90	83	836
91	83	828
92	84	821
93	84	814
94	84	807
95	85	800
96	85	793
97	85	786
98	85	781
99	86	774
100	86	768
101	86	762
102	86	756
103	87	750
104	87	744
105	87	738
106	87	732
107	88	726
108	88	721
109	88	716
110	88	710
111	88	705
112	89	700
113	89	695
114	89	690
115	89	685
116	90	680
117	90	675
118	90	670
119	90	665
120	91	661
121	91	656
122	91	652
123	91	648
124	91	643
125	92	639
126	92	634
127	92	631
128	92	627
129	93	623
130	93	619
131	93	615
132	93	612
133	94	609
134	94	605
135	94	601
136	95	598
137	95	594
138	95	591
139	95	588
140	95	584
141	96	580
142	96	577
143	96	573
144	96	570
145	97	567
146	97	564
147	97	561
148	97	558
149	97	555
150	98	552
151	98	549
152	98	546
153	98	543
154	99	540
155	99	537
156	99	535
157	99	532
158	100	529
159	100	526
160	100	523
161	100	521
162	100	518
163	101	515
164	101	513
165	101	510
166	101	508
167	102	505
168	102	503
169	102	501
170	102	499
171	103	496
172	103	494
173	103	492
174	103	490
175	104	488
176	104	485
177	104	483
178	104	481
179	105	479
180	105	477
181	105	475
182	105	472
183	106	470
184	106	468
185	106	466
186	106	464
187	107	462
188	107	460
189	107	458
190	107	456
191	108	454
192	108	452
193	108	451
194	108	449
195	109	447
196	109	446
197	109	444
198	109	442
199	110	440
200	110	438
201	110	437
202	110	435
203	111	433
204	111	431
205	111	430
206	111	428
207	112	427
208	112	425
209	112	423
210	112	422
211	113	420
212	113	418
213	113	417
214	113	415
215	114	413
216	114	412
217	114	410
218	114	409
219	114	407
220	115	406
221	115	404
222	115	403
223	115	401
224	116	399
225	116	398
226	116	397
227	116	395
228	117	394
229	117	392
230	117	391
231	117	389
232	117	388
233	118	386
234	118	385
235	118	384
236	118	382
237	119	381
238	119	380
239	119	379
240	119	377
241	120	376
242	120	375
243	120	373
244	120	372
245	121	371
246	121	370
247	121	368
248	121	367
249	122	366
250	122	364
251	122	363
252	122	362
253	122	361
254	123	359
255	123	358
256	123	357
257	123	356
258	124	355
259	124	354
260	124	353
261	124	351
262	125	350
263	125	349
264	125	348
265	126	347
266	126	346
267	126	345
268	126	344
269	126	343
270	127	342
271	127	341
272	127	340
273	128	339
274	128	338
275	128	337
276	128	336
277	129	335
278	129	333
279	129	332
280	129	332
281	130	331
282	130	329
283	130	328
284	130	327
285	130	326
286	131	325
287	131	325
288	131	323
289	131	323
290	132	322
291	132	321
292	132	320
293	132	319
294	133	318
295	133	317
296	133	316
297	133	315
298	134	314
299	134	313
300	134	312
301	134	311
302	134	310
303	135	309
304	135	308
305	135	307
306	135	306
307	136	306
308	136	305
309	136	304
310	136	303
311	137	302
312	137	301
313	137	300
314	137	299
315	138	298
316	138	297
317	138	297
318	138	296
319	138	295
320	139	294
321	139	293
322	139	292
323	139	292
324	140	291
325	140	290
326	140	289
327	141	288
328	141	288
329	141	287
330	141	286
331	142	285
332	142	284
333	142	284
334	142	283
335	142	282
336	143	281
337	143	280
338	143	280
339	143	279
340	144	278
341	144	277
342	144	276
343	144	276
344	145	275
345	145	274
346	145	273
347	145	273
348	145	272
349	146	271
350	146	270
351	146	270
352	147	269
353	147	268
354	147	268
355	147	267
356	148	266
357	148	265
358	148	265
359	148	264
360	149	263
361	149	263
362	149	262
363	149	261
364	150	261
365	150	260
